GENESIS-Tabelle: 46241-0005
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;
Jahre, Unfalltyp/Unfallart, Ortslage, Schwere der Verletzung;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;
;;;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Abbiege-Unfall;auf Autobahnen;Leichtverletzte;Verunglückte;Anzahl;90;85;85;79;79;76;79;116;71;89;94;98;79
Abbiege-Unfall;auf Autobahnen;Insgesamt;Unfälle mit Personenschaden;Anzahl;66;72;70;61;72;66;59;79;61;76;71;83;62
Abbiege-Unfall;auf Autobahnen;Insgesamt;Verunglückte;Anzahl;98;92;93;84;87;89;84;125;78;97;104;104;86
Abbiege-Unfall;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;250;239;212;241;216;221;196;255;220;230;235;209;213
Abbiege-Unfall;Insgesamt;Getötete;Verunglückte;Anzahl;258;247;218;247;219;222;198;259;228;240;237;213;216
Abbiege-Unfall;Insgesamt;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;7110;6705;6134;7316;6965;6636;7135;7026;7165;7030;7367;6884;6049
Abbiege-Unfall;Insgesamt;Schwerverletzte;Verunglückte;Anzahl;7911;7515;6866;8120;7746;7437;8009;7904;8097;8012;8396;7889;6812
Abbiege-Unfall;Insgesamt;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;36760;35326;31682;35404;34491;33562;34983;35236;34674;34146;35404;34025;29468
Abbiege-Unfall;Insgesamt;Leichtverletzte;Verunglückte;Anzahl;49454;47794;43160;47693;46639;45363;47224;47394;46768;45921;47669;45539;38427
Abbiege-Unfall;Insgesamt;Insgesamt;Unfälle mit Personenschaden;Anzahl;44120;42270;38028;42961;41672;40419;42314;42517;42059;41406;43006;41118;35730
Abbiege-Unfall;Insgesamt;Insgesamt;Verunglückte;Anzahl;57623;55556;50244;56060;54604;53022;55431;55557;55093;54173;56302;53641;45455
Einbiegen/Kreuzen-Unfall;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;181;162;149;174;149;137;164;150;134;150;135;129;116
Einbiegen/Kreuzen-Unfall;innerorts;Getötete;Verunglückte;Anzahl;186;167;152;180;152;142;166;158;135;155;139;130;119
Einbiegen/Kreuzen-Unfall;innerorts;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;8296;7951;7123;8240;7605;7120;7891;7827;7742;7380;7642;7059;6153
Einbiegen/Kreuzen-Unfall;innerorts;Schwerverletzte;Verunglückte;Anzahl;8755;8406;7577;8766;8077;7554;8456;8372;8303;7927;8190;7547;6591
Einbiegen/Kreuzen-Unfall;innerorts;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;51988;49444;44452;48459;46964;44808;47139;46692;47269;46220;46806;45439;39171
Einbiegen/Kreuzen-Unfall;innerorts;Leichtverletzte;Verunglückte;Anzahl;64265;61265;55492;60481;58836;55779;58711;58391;58906;57826;58201;56526;47461
Einbiegen/Kreuzen-Unfall;innerorts;Insgesamt;Unfälle mit Personenschaden;Anzahl;60465;57557;51724;56873;54718;52065;55194;54669;55145;53750;54583;52627;45440
Einbiegen/Kreuzen-Unfall;innerorts;Insgesamt;Verunglückte;Anzahl;73206;69838;63221;69427;67065;63475;67333;66921;67344;65908;66530;64203;54171
Einbiegen/Kreuzen-Unfall;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;336;302;270;279;278;222;253;239;234;227;233;215;191
