;;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
Kategorie;Kategorie;Kategorie;Kategorie;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Ohne Angabe;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
Jahr;Fahrzeug;Ortslage;Schwere der Verletzung;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt;unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 21 Jahre;21 bis unter 25 Jahre;25 bis unter 35 Jahre;35 bis unter 45 Jahre;45 bis unter 55 Jahre;55 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;Alter unbekannt;Insgesamt
2018;Elektrokleinstfahrzeuge;Insgesamt;Schwerverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;Elektrokleinstfahrzeuge;Insgesamt;Leichtverletzte;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;Elektrokleinstfahrzeuge;Insgesamt;Insgesamt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2018;Personenkraftwagen;innerorts;Getötete;2;4;9;10;21;7;14;8;13;37;2;127;1;6;1;4;2;4;4;3;7;21;-;53;-;-;-;-;-;-;-;-;-;-;-;-;3;10;10;14;23;11;18;11;20;58;2;180
2018;Personenkraftwagen;innerorts;Schwerverletzte;165;84;378;424;770;503;575;528;363;626;9;4425;195;95;329;343;711;536;600;574;394;609;5;4391;-;-;-;-;-;-;-;-;-;-;1;1;360;179;707;767;1481;1039;1175;1102;757;1235;15;8817
2018;Personenkraftwagen;innerorts;Leichtverletzte;2348;627;3523;4128;8899;6783;6789;4877;2380;2439;68;42861;2664;1072;4023;5003;11183;9013;9190;6430;3081;2829;57;54545;-;-;-;-;1;-;-;-;-;1;18;20;5012;1699;7546;9131;20083;15796;15979;11307;5461;5269;143;97426
2018;Personenkraftwagen;innerorts;Insgesamt;2515;715;3910;4562;9690;7293;7378;5413;2756;3102;79;47413;2860;1173;4353;5350;11896;9553;9794;7007;3482;3459;62;58989;-;-;-;-;1;-;-;-;-;1;19;21;5375;1888;8263;9912;21587;16846;17172;12420;6238;6562;160;106423
2018;Personenkraftwagen;außerorts (ohne Autobahnen);Getötete;10;7;69;61;118;83;94;93;62;114;1;712;9;4;24;21;37;26;32;45;37;65;-;300;-;-;-;-;-;-;-;-;-;-;-;-;19;11;93;82;155;109;126;138;99;179;1;1012
2018;Personenkraftwagen;außerorts (ohne Autobahnen);Schwerverletzte;307;148;1028;869;1495;971;1061;1014;589;786;16;8284;336;205;789;694;1083;801;1067;1002;599;693;13;7282;-;-;-;-;-;-;-;-;-;-;-;-;643;353;1817;1563;2578;1772;2128;2016;1188;1479;29;15566
2018;Personenkraftwagen;außerorts (ohne Autobahnen);Leichtverletzte;1476;548;3461;3291;6169;4240;4406;3426;1622;1598;29;30266;1634;853;3514;3411;6137;4370;4717;3522;1731;1390;23;31302;-;-;-;-;-;-;1;-;-;1;9;11;3110;1401;6975;6702;12306;8610;9124;6948;3353;2989;61;61579
2018;Personenkraftwagen;außerorts (ohne Autobahnen);Insgesamt;1793;703;4558;4221;7782;5294;5561;4533;2273;2498;46;39262;1979;1062;4327;4126;7257;5197;5816;4569;2367;2148;36;38884;-;-;-;-;-;-;1;-;-;1;9;11;3772;1765;8885;8347;15039;10491;11378;9102;4640;4647;91;78157
2018;Personenkraftwagen;auf Autobahnen;Getötete;4;-;6;10;23;35;28;25;18;11;1;161;3;2;1;3;16;5;14;6;12;9;-;71;-;-;-;-;-;-;-;-;-;-;-;-;7;2;7;13;39;40;42;31;30;20;1;232
2018;Personenkraftwagen;auf Autobahnen;Schwerverletzte;122;27;146;250;539;415;436;337;176;162;1;2611;111;45;155;187;367;261;282;215;153;117;3;1896;-;-;-;-;-;-;-;-;-;-;-;-;233;72;301;437;906;676;718;552;329;279;4;4507
