GENESIS-Tabelle: 46241-0003
Straﬂenverkehrsunf‰lle mit Personenschaden, Getˆteten,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schwer- und Leichtverletzten: Deutschland, Jahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Straﬂenklasse, Ortslage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der Straﬂenverkehrsunf‰lle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Landesstraﬂen;Insgesamt;Schwerverletzte;Anzahl;31453;32073;32860;33840;32176;31134;30748;29407;28977;27621;25428;23427;22482;21206;19913;19057;19543;17993;17222;15692;17588;16337;15949;16966;16810;16720;16640;17038;16440;14268
Landesstraﬂen;Insgesamt;Leichtverletzte;Anzahl;76474;79479;81065;83845;82543;80693;83114;84815;89076;87180;87664;84564;83318;78532;76544;74897;77448;72412;70667;66713;69559;67901;65171;67749;68305;69190;68411;69189;67987;56586
Kreisstraﬂen;innerorts;Unf‰lle mit Personenschaden;Anzahl;19565;19628;19343;19164;17785;16743;17596;17678;18761;18217;18369;18138;17936;17410;17296;17393;17702;17142;16916;15798;16788;16586;16526;16856;16643;16612;16255;16300;16548;14735
Kreisstraﬂen;innerorts;Getˆtete;Anzahl;325;299;265;254;206;204;217;174;188;186;178;160;169;150;154;148;151;127;128;96;97;117;98;99;101;95;102;98;78;86
Kreisstraﬂen;innerorts;Schwerverletzte;Anzahl;6039;5641;5558;5330;4875;4595;4813;4632;4646;4336;4043;3964;3903;3761;3482;3674;3636;3441;3360;3093;3396;3283;3167;3305;3226;3168;3071;3083;3047;2750
Kreisstraﬂen;innerorts;Leichtverletzte;Anzahl;18027;18369;18206;18199;17093;16305;17041;17460;18801;18231;18763;18884;18414;17965;17821;17930;18098;17788;17428;16594;17264;17199;17202;17563;17404;17410;17109;16885;17092;14807
Kreisstraﬂen;auﬂerorts;Unf‰lle mit Personenschaden;Anzahl;18775;18471;19051;18922;19030;18750;19139;19358;20286;19336;19435;18218;18373;16950;16316;15666;15703;15098;15016;13719;14595;14259;13959;14162;14429;14163;14185;14365;13851;12748
Kreisstraﬂen;auﬂerorts;Getˆtete;Anzahl;999;901;908;880;907;895;872;795;825;779;792;717;761;674;592;558;567;482;453;391;447;424;326;381;370;336;345;375;338;314
Kreisstraﬂen;auﬂerorts;Schwerverletzte;Anzahl;9482;8878;8825;8708;9100;8776;8685;8497;8733;7947;7631;6936;6938;6327;5774;5608;5457;5257;5325;4457;4970;4918;4686;5045;5049;4963;4927;5152;4764;4598
Kreisstraﬂen;auﬂerorts;Leichtverletzte;Anzahl;16802;16663;17557;17474;17447;17307;17867;18327;19182;18615;19148;17811;17971;16738;16155;15549;15619;14878;14825;13899;14578;14175;13846;13880;14224;14108;14111;14082;13774;12038
Kreisstraﬂen;Insgesamt;Unf‰lle mit Personenschaden;Anzahl;38340;38099;38394;38086;36815;35493;36735;37036;39047;37553;37804;36356;36309;34360;33612;33059;33405;32240;31932;29517;31383;30845;30485;31018;31072;30775;30440;30665;30399;27483
Kreisstraﬂen;Insgesamt;Getˆtete;Anzahl;1324;1200;1173;1134;1113;1099;1089;969;1013;965;970;877;930;824;746;706;718;609;581;487;544;541;424;480;471;431;447;473;416;400
Kreisstraﬂen;Insgesamt;Schwerverletzte;Anzahl;15521;14519;14383;14038;13975;13371;13498;13129;13379;12283;11674;10900;10841;10088;9256;9282;9093;8698;8685;7550;8366;8201;7853;8350;8275;8131;7998;8235;7811;7348
Kreisstraﬂen;Insgesamt;Leichtverletzte;Anzahl;34829;35032;35763;35673;34540;33612;34908;35787;37983;36846;37911;36695;36385;34703;33976;33479;33717;32666;32253;30493;31842;31374;31048;31443;31628;31518;31220;30967;30866;26845
Andere Straﬂen;innerorts;Unf‰lle mit Personenschaden;Anzahl;137725;143444;135423;139401;140489;134451;138415;135373;143789;140133;135758;131939;131663;129023;131767;129747;134373;131982;127295;116698;126617;124849;120664;127224;128748;130960;128634;133937;128042;115933
Andere Straﬂen;innerorts;Getˆtete;Anzahl;1460;1396;1199;1122;1044;899;888;823;867;815;748;736;732;665;652;637;629;580;586;471;547;513;505;527;545;506;524;524;523;450
Andere Straﬂen;innerorts;Schwerverletzte;Anzahl;33566;33312;30833;30992;30324;28509;28452;26618;27032;25209;23621;22123;22011;21523;21500;20923;21720;21364;20609;18679;21003;20454;19390;20754;20928;20706;20580;21465;20232;18899
Andere Straﬂen;innerorts;Leichtverletzte;Anzahl;128947;135398;128400;133374;136258;130636;135211;133830;143350;140722;137600;134581;133173;130406;133192;130980;135384;132530;127859;117992;127058;125478;121722;127693;129476;131899;129357;134134;128051;112239
Andere Straﬂen;auﬂerorts;Unf‰lle mit Personenschaden;Anzahl;12699;12786;12458;12339;12246;11549;11290;11265;11923;11406;11134;10658;10876;10151;9562;9217;9388;9165;8873;7846;8490;8175;7775;7867;8003;8083;7856;8240;8174;9642
Andere Straﬂen;auﬂerorts;Getˆtete;Anzahl;492;471;441;402;386;373;311;321;367;305;289;243;278;214;223;198;192;190;168;148;164;141;149;162;121;114;124;148;132;163
Andere Straﬂen;auﬂerorts;Schwerverletzte;Anzahl;5841;5816;5494;5479;5265;4812;4751;4376;4582;4307;4062;3652;3834;3633;3247;3147;3256;3092;3033;2488;2843;2683;2560;2641;2597;2637;2551;2722;2698;3182
Andere Straﬂen;auﬂerorts;Leichtverletzte;Anzahl;10975;11107;10921;10887;10905;10514;10042;10362;11023;10733;10578;10218;10194;9483;8969;8729;8645;8373;8219;7426;7916;7634;7193;7135;7478;7549;7252;7388;7408;8099
Andere Straﬂen;Insgesamt;Unf‰lle mit Personenschaden;Anzahl;150424;156230;147881;151740;152735;146000;149705;146638;155712;151539;146892;142597;142539;139174;141329;138964;143761;141147;136168;124544;135107;133024;128439;135091;136751;139043;136490;142177;136216;125575
Andere Straﬂen;Insgesamt;Getˆtete;Anzahl;1952;1867;1640;1524;1430;1272;1199;1144;1234;1120;1037;979;1010;879;875;835;821;770;754;619;711;654;654;689;666;620;648;672;655;613
Andere Straﬂen;Insgesamt;Schwerverletzte;Anzahl;39407;39128;36327;36471;35589;33321;33203;30994;31614;29516;27683;25775;25845;25156;24747;24070;24976;24456;23642;21167;23846;23137;21950;23395;23525;23343;23131;24187;22930;22081
Andere Straﬂen;Insgesamt;Leichtverletzte;Anzahl;139922;146505;139321;144261;147163;141150;145253;144192;154373;151455;148178;144799;143367;139889;142161;139709;144029;140903;136078;125418;134974;133112;128915;134828;136954;139448;136609;141522;135459;120338
Insgesamt;innerorts;Unf‰lle mit Personenschaden;Anzahl;245617;254844;242974;248995;246617;236009;243171;240208;252087;245470;239883;233865;230521;223314;225875;221504;228717;221306;213361;195833;210427;206696;199650;209618;209821;211686;207562;213124;207625;183412
Insgesamt;innerorts;Getˆtete;Anzahl;3349;3109;2832;2594;2435;2131;2064;1908;1878;1829;1726;1684;1646;1484;1471;1384;1335;1261;1225;1011;1115;1062;977;983;1048;960;976;984;932;810
Insgesamt;innerorts;Schwerverletzte;Anzahl;64015;63600;59823;60293;57731;54291;54597;50951;51237;47694;44599;42129;40991;39701;39284;38257;39155;37694;36361;33262;36954;35350;33843;36054;35774;35482;34966;35838;34103;30719
Insgesamt;innerorts;Leichtverletzte;Anzahl;234697;245124;235239;242732;243779;234716;242731;243445;257908;253104;250167;245971;240471;232335;234726;230367;237817;229190;221333;204869;217336;214959;207678;217417;217786;219875;215816;220312;214309;183266
Insgesamt;auﬂerorts;Unf‰lle mit Personenschaden;Anzahl;139530;140618;142410;143759;141386;137073;137664;137049;143602;137479;135462;128189;124013;115996;110744;106480;107128;99308;97445;92464;95839;92941;91455;92817;95838;96459;95094;95597;92518;81087
Insgesamt;auﬂerorts;Getˆtete;Anzahl;7951;7522;7117;7220;7019;6627;6485;5884;5894;5674;5251;5158;4967;4358;3890;3707;3614;3216;2927;2637;2894;2538;2362;2394;2411;2246;2204;2291;2114;1909
Insgesamt;auﬂerorts;Schwerverletzte;Anzahl;67078;66751;66031;66430;65242;62165;60817;57939;58313;54722;50441;46253;44586;41100;37668;36245;36288;32950;32206;29358;32031;30929;30214;31678;31932;31944;31547;32129;31141;27286
Insgesamt;auﬂerorts;Leichtverletzte;Anzahl;139745;141322;144498;146960;145389;141986;142949;144984;153669;148554;149568;142060;136122;126990;121765;117468;118159;109213;107771;103681;106044;103140;102407;104386;107940;109365;107983;107739;104677;86279
Insgesamt;Insgesamt;Unf‰lle mit Personenschaden;Anzahl;385147;395462;385384;392754;388003;373082;380835;377257;395689;382949;375345;362054;354534;339310;336619;327984;335845;320614;310806;288297;306266;299637;291105;302435;305659;308145;302656;308721;300143;264499
Insgesamt;Insgesamt;Getˆtete;Anzahl;11300;10631;9949;9814;9454;8758;8549;7792;7772;7503;6977;6842;6613;5842;5361;5091;4949;4477;4152;3648;4009;3600;3339;3377;3459;3206;3180;3275;3046;2719
Insgesamt;Insgesamt;Schwerverletzte;Anzahl;131093;130351;125854;126723;122973;116456;115414;108890;109550;102416;95040;88382;85577;80801;76952;74502;75443;70644;68567;62620;68985;66279;64057;67732;67706;67426;66513;67967;65244;58005
Insgesamt;Insgesamt;Leichtverletzte;Anzahl;374442;386446;379737;389692;389168;376702;385680;388429;411577;401658;399735;388031;376593;359325;356491;347835;355976;338403;329104;308550;323380;318099;310085;321803;325726;329240;323799;328051;318986;269545
__________
© Statistisches Bundesamt (Destatis), 2022
Stand: 22.01.2022 / 16:40:27
